source_mat_id,sea_surf_temp,sea_surf_temp_method,ph,ph_method,sediment_temp,sediment_temp_method,redox_potential,redox_potential_method,alkalinity,alkalinity_method,ammonium,ammonium_method,bac_prod,bac_prod_method,biomass,biomass_method,chem_administration,chlorophyll,chlorophyll_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,diss_oxygen,diss_oxygen_method,magnesium,magnesium_method,methane,methane_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,organism_count,organism_count_method,oxy_stat_samp,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,particle_class,perturbation,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,porosity,pressure,pressure_method,sea_surf_salinity,sea_surf_salinity_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,water_current,water_current_method
EMOBON_BPNS_211028_So_macro_blank,14.097,CTD,7,Hanna Instruments 991001 ph meter,14.099,CTD,,,,,,,,,,,,,,,,,,,,,,"8,14",CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00014803849,CTD,33.855,CTD,,,,,,,,
EMOBON_BPNS_211028_So_meio_1,14.097,CTD,7,Hanna Instruments 991001 ph meter,14.099,CTD,,,,,,,,,,,,,,,,,,,,,,"8,14",CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00014803849,CTD,33.855,CTD,,,,,,,,
EMOBON_BPNS_211028_So_meio_2,14.097,CTD,7,Hanna Instruments 991001 ph meter,14.099,CTD,,,,,,,,,,,,,,,,,,,,,,"8,14",CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00014803849,CTD,33.855,CTD,,,,,,,,
EMOBON_BPNS_211028_So_meio_3,14.097,CTD,7,Hanna Instruments 991001 ph meter,14.099,CTD,,,,,,,,,,,,,,,,,,,,,,"8,14",CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00014803849,CTD,33.855,CTD,,,,,,,,
EMOBON_BPNS_211028_So_meio_4,14.097,CTD,7,Hanna Instruments 991001 ph meter,14.099,CTD,,,,,,,,,,,,,,,,,,,,,,"8,14",CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00014803849,CTD,33.855,CTD,,,,,,,,
EMOBON_BPNS_211028_So_meio_blank,14.097,CTD,7,Hanna Instruments 991001 ph meter,14.099,CTD,,,,,,,,,,,,,,,,,,,,,,"8,14",CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00014803849,CTD,33.855,CTD,,,,,,,,
EMOBON_BPNS_211223_So_micro_1,,CTD broke and sea surface temperature could not be measured,"5,96",Hanna Instruments 991001 ph meter,,CTD broke and sediment temperature could not be measured,,,,,,,,,,,,,,,,,,,,,,,CTD broke and dissolved oxygen could not be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTD broke and pressure could not be measured,,CTD broke and sea surface salinity could not be measured,,,,,,,,
"EMOBON_BPNS_211223_So_micro_2
",,CTD broke and sea surface temperature could not be measured,"5,96",Hanna Instruments 991001 ph meter,,CTD broke and sediment temperature could not be measured,,,,,,,,,,,,,,,,,,,,,,,CTD broke and dissolved oxygen could not be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTD broke and pressure could not be measured,,CTD broke and sea surface salinity could not be measured,,,,,,,,
EMOBON_BPNS_211223_So_micro_3,,CTD broke and sea surface temperature could not be measured,"5,96",Hanna Instruments 991001 ph meter,,CTD broke and sediment temperature could not be measured,,,,,,,,,,,,,,,,,,,,,,,CTD broke and dissolved oxygen could not be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTD broke and pressure could not be measured,,CTD broke and sea surface salinity could not be measured,,,,,,,,
EMOBON_BPNS_211223_So_micro_4,,CTD broke and sea surface temperature could not be measured,"5,96",Hanna Instruments 991001 ph meter,,CTD broke and sediment temperature could not be measured,,,,,,,,,,,,,,,,,,,,,,,CTD broke and dissolved oxygen could not be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTD broke and pressure could not be measured,,CTD broke and sea surface salinity could not be measured,,,,,,,,
