source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,noteworthy_env_cond,depth,replicate,samp_size_vol,time_fi,size_frac,size_frac_low,size_frac_up,membr_cut,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,long_store,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,seq_batch,failure,failure_comment,ENA_accession_number_sample,source_mat_id
EMOBON 210825 330 WaSOP1 3um R2,EMOBON metagenome water sample from station BPNS collected on 2021-08-25 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,http://purl.obolibrary.org/obo/ENVO_00002149;http://purl.obolibrary.org/obo/ENVO_00002150;http://purl.obolibrary.org/obo/ENVO_00002042,2021-08-25,BPNS_Wa_210825,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,ebb_tide,,18.66,2,7,0.25,3-200,3,200,true,Niskin Bottle,WaSOP1,,2021-08-25,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,false,2021-10-05,2021-10-08,-70,2021-11-24,2021-11-24,batch_1,false,,https://identifiers.org/ena.embl:ERS16590016,EMOBON_BPNS_Wa_22
EMOBON 210825 330 WaSOP1 3um R3,EMOBON metagenome water sample from station BPNS collected on 2021-08-25 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,http://purl.obolibrary.org/obo/ENVO_00002149;http://purl.obolibrary.org/obo/ENVO_00002150;http://purl.obolibrary.org/obo/ENVO_00002042,2021-08-25,BPNS_Wa_210825,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,ebb_tide,,18.66,3,7,0.25,3-200,3,200,true,Niskin Bottle,WaSOP1,,2021-08-25,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,true,,,,,,,,,,EMOBON_BPNS_Wa_23
EMOBON 210825 330 WaSOP1 3um R4,EMOBON metagenome water sample from station BPNS collected on 2021-08-25 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,http://purl.obolibrary.org/obo/ENVO_00002149;http://purl.obolibrary.org/obo/ENVO_00002150;http://purl.obolibrary.org/obo/ENVO_00002042,2021-08-25,BPNS_Wa_210825,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,ebb_tide,,18.66,4,7,0.25,3-200,3,200,true,Niskin Bottle,WaSOP1,,2021-08-25,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,true,,,,,,,,,,EMOBON_BPNS_Wa_24
EMOBON 210825 330 WaSOP1 3um Blank,EMOBON metagenome water sample from station BPNS collected on 2021-08-25 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=256318,metagenome,metagenome,http://purl.obolibrary.org/obo/ENVO_00003065,2021-08-25,BPNS_Wa_210825,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,,,,blank_1,7,0.033333,3-200,3,200,false,,WaSOP1,,2021-08-25,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,true,,,,,,,,,,EMOBON_BPNS_Wa_25
EMOBON 210825 330 WaSOP1 0.2um R1,EMOBON metagenome water sample from station BPNS collected on 2021-08-25 size fraction 0.2-3um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,http://purl.obolibrary.org/obo/ENVO_00002149;http://purl.obolibrary.org/obo/ENVO_00002150;http://purl.obolibrary.org/obo/ENVO_00002042,2021-08-25,BPNS_Wa_210825,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,ebb_tide,,18.66,1,7,0.25,0.2-3,0.2,3,true,Niskin Bottle,WaSOP1,,2021-08-25,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,false,2021-10-05,2021-10-08,-70,2021-11-24,2021-11-24,batch_1,false,,https://identifiers.org/ena.embl:ERS16590017,EMOBON_BPNS_Wa_26
EMOBON 210825 330 WaSOP1 0.2um R2,EMOBON metagenome water sample from station BPNS collected on 2021-08-25 size fraction 0.2-3um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,http://purl.obolibrary.org/obo/ENVO_00002149;http://purl.obolibrary.org/obo/ENVO_00002150;http://purl.obolibrary.org/obo/ENVO_00002042,2021-08-25,BPNS_Wa_210825,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,ebb_tide,,18.66,2,7,0.25,0.2-3,0.2,3,true,Niskin Bottle,WaSOP1,,2021-08-25,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,false,2021-10-05,2021-10-08,-70,2021-11-24,2021-11-24,batch_1,false,,https://identifiers.org/ena.embl:ERS16590018,EMOBON_BPNS_Wa_27
EMOBON 210825 330 WaSOP1 0.2um R3,EMOBON metagenome water sample from station BPNS collected on 2021-08-25 size fraction 0.2-3um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,http://purl.obolibrary.org/obo/ENVO_00002149;http://purl.obolibrary.org/obo/ENVO_00002150;http://purl.obolibrary.org/obo/ENVO_00002042,2021-08-25,BPNS_Wa_210825,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,ebb_tide,,18.66,3,7,0.25,0.2-3,0.2,3,true,Niskin Bottle,WaSOP1,,2021-08-25,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,true,,,,,,,,,,EMOBON_BPNS_Wa_28
EMOBON 210825 330 WaSOP1 0.2um R4,EMOBON metagenome water sample from station BPNS collected on 2021-08-25 size fraction 0.2-3um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,http://purl.obolibrary.org/obo/ENVO_00002149;http://purl.obolibrary.org/obo/ENVO_00002150;http://purl.obolibrary.org/obo/ENVO_00002042,2021-08-25,BPNS_Wa_210825,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,ebb_tide,,18.66,4,7,0.25,0.2-3,0.2,3,true,Niskin Bottle,WaSOP1,,2021-08-25,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,true,,,,,,,,,,EMOBON_BPNS_Wa_29
EMOBON 210825 330 WaSOP1 0.2um Blank,EMOBON metagenome water sample from station BPNS collected on 2021-08-25 size fraction 0.2-3um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=256318,metagenome,metagenome,http://purl.obolibrary.org/obo/ENVO_00003065,2021-08-25,BPNS_Wa_210825,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,,,,blank_1,7,0.033333,0.2-3,0.2,3,false,,WaSOP1,,2021-08-25,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,true,,,,,,,,,,EMOBON_BPNS_Wa_30
EMOBON 210825 330 WaSOP2 20um R1,EMOBON metagenome water sample from station BPNS collected on 2021-08-25 size fraction 20um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,http://purl.obolibrary.org/obo/ENVO_00002149;http://purl.obolibrary.org/obo/ENVO_00002150,2021-08-25,BPNS_Wa_210825,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,ebb_tide,,18.66,1,0.25,0.083333,20,20,,false,Apstein,WaSOP2,,2021-08-25,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,true,,,,,,,,,,EMOBON_BPNS_Wa_31
