event_id,source_mat_id,ena_accession_number_run_metag
IUIEilat1_Wa_211018,EMOBON_IUIEilat_Wa_16,ERR14888681
IUIEilat1_Wa_211219,EMOBON_IUIEilat_Wa_21,ERR14888682
IUIEilat1_Wa_211219,EMOBON_IUIEilat_Wa_22,ERR14888683
IUIEilat1_Wa_211219,EMOBON_IUIEilat_Wa_25,ERR14888684
IUIEilat1_Wa_211219,EMOBON_IUIEilat_Wa_26,ERR14888685
MBAL4_Wa_211103,EMOBON_MBAL4_Wa_1,ERR14888759
MBAL4_Wa_211216,EMOBON_MBAL4_Wa_11,ERR14888763
MBAL4_Wa_211216,EMOBON_MBAL4_Wa_12,ERR14888764
MBAL4_Wa_211216,EMOBON_MBAL4_Wa_13,ERR14888765
MBAL4_Wa_211216,EMOBON_MBAL4_Wa_14,ERR14888766
MBAL4_Wa_211103,EMOBON_MBAL4_Wa_2,ERR14888760
MBAL4_Wa_211103,EMOBON_MBAL4_Wa_3,ERR14888761
MBAL4_Wa_211103,EMOBON_MBAL4_Wa_4,ERR14888762
NRMCB_So_211026,EMOBON_NRMCB_So_11,ERR14888966
NRMCB_So_211026,EMOBON_NRMCB_So_12,ERR14888967
NRMCB_So_211221,EMOBON_NRMCB_So_16,ERR14888968
NRMCB_So_211221,EMOBON_NRMCB_So_17,ERR14888969
NRMCB_Wa_211026,EMOBON_NRMCB_Wa_43,ERR14888958
NRMCB_Wa_211026,EMOBON_NRMCB_Wa_44,ERR14888959
NRMCB_Wa_211026,EMOBON_NRMCB_Wa_48,ERR14888960
NRMCB_Wa_211026,EMOBON_NRMCB_Wa_49,ERR14888961
NRMCB_Wa_211221,EMOBON_NRMCB_Wa_63,ERR14888962
NRMCB_Wa_211221,EMOBON_NRMCB_Wa_64,ERR14888963
NRMCB_Wa_211221,EMOBON_NRMCB_Wa_68,ERR14888964
NRMCB_Wa_211221,EMOBON_NRMCB_Wa_69,ERR14888965
OOB_So_211209,EMOBON_OOB_So_25,ERR14888714
OOB_So_211209,EMOBON_OOB_So_26,ERR14888715
OSD74_Wa_211028,EMOBON_OSD74_Wa_11,ERR14888849
OSD74_Wa_211028,EMOBON_OSD74_Wa_12,ERR14888850
OSD74_Wa_211028,EMOBON_OSD74_Wa_13,ERR14888851
OSD74_Wa_211028,EMOBON_OSD74_Wa_14,ERR14888852
OSD74_Wa_211218,EMOBON_OSD74_Wa_21,ERR14888853
OSD74_Wa_211218,EMOBON_OSD74_Wa_22,ERR14888854
OSD74_Wa_211218,EMOBON_OSD74_Wa_23,ERR14888855
OSD74_Wa_211218,EMOBON_OSD74_Wa_24,ERR14888856
PiEGetxo_Wa_211027,EMOBON_PiEGetxo_Wa_12,ERR14888779
PiEGetxo_Wa_211027,EMOBON_PiEGetxo_Wa_13,ERR14888780
PiEGetxo_Wa_211027,EMOBON_PiEGetxo_Wa_14,ERR14888781
PiEGetxo_Wa_211027,EMOBON_PiEGetxo_Wa_15,ERR14888782
PiEGetxo_Wa_211222,EMOBON_PiEGetxo_Wa_48,ERR14888783
PiEGetxo_Wa_211222,EMOBON_PiEGetxo_Wa_49,ERR14888784
PiEGetxo_Wa_211222,EMOBON_PiEGetxo_Wa_50,ERR14888785
PiEGetxo_Wa_211222,EMOBON_PiEGetxo_Wa_51,ERR14888786
RFormosa_So_211220,EMOBON_RFormosa_So_11,ERR14888981
RFormosa_So_211220,EMOBON_RFormosa_So_12,ERR14888982
RFormosa_So_211022,EMOBON_RFormosa_So_6,ERR14888979
RFormosa_So_211022,EMOBON_RFormosa_So_7,ERR14888980
RFormosa_Wa_211022,EMOBON_RFormosa_Wa_11,ERR14888970
RFormosa_Wa_211022,EMOBON_RFormosa_Wa_12,ERR14888972
RFormosa_Wa_211022,EMOBON_RFormosa_Wa_15,ERR14888973
RFormosa_Wa_211022,EMOBON_RFormosa_Wa_16,ERR14888974
RFormosa_Wa_211220,EMOBON_RFormosa_Wa_21,ERR14888975
RFormosa_Wa_211220,EMOBON_RFormosa_Wa_22,ERR14888976
RFormosa_Wa_211220,EMOBON_RFormosa_Wa_25,ERR14888977
RFormosa_Wa_211220,EMOBON_RFormosa_Wa_26,ERR14888978
ROSKOGO_So_211119,EMOBON_ROSKOGO_So_16,ERR14888905
ROSKOGO_So_211119,EMOBON_ROSKOGO_So_17,ERR14888906
ROSKOGO_So_211222,EMOBON_ROSKOGO_So_61,ERR14888907
ROSKOGO_So_211222,EMOBON_ROSKOGO_So_62,ERR14888908
ROSKOGO_Wa_211014,EMOBON_ROSKOGO_Wa_23,ERR14888897
ROSKOGO_Wa_211014,EMOBON_ROSKOGO_Wa_24,ERR14888898
ROSKOGO_Wa_211014,EMOBON_ROSKOGO_Wa_27,ERR14888899
ROSKOGO_Wa_211014,EMOBON_ROSKOGO_Wa_28,ERR14888900
ROSKOGO_Wa_211213,EMOBON_ROSKOGO_Wa_33,ERR14888901
ROSKOGO_Wa_211213,EMOBON_ROSKOGO_Wa_34,ERR14888902
ROSKOGO_Wa_211213,EMOBON_ROSKOGO_Wa_37,ERR14888903
ROSKOGO_Wa_211213,EMOBON_ROSKOGO_Wa_38,ERR14888904
VB_Wa_211217,EMOBON_VB_Wa_137,ERR14888808
VB_Wa_211217,EMOBON_VB_Wa_138,ERR14888809
VB_Wa_211217,EMOBON_VB_Wa_140,ERR14888810
VB_Wa_211217,EMOBON_VB_Wa_141,ERR14888811
VB_Wa_211018,EMOBON_VB_Wa_93,ERR14888804
VB_Wa_211018,EMOBON_VB_Wa_94,ERR14888805
VB_Wa_211018,EMOBON_VB_Wa_96,ERR14888806
VB_Wa_211018,EMOBON_VB_Wa_97,ERR14888807
